,movie,title,text,score,user,date,helpfulness_votes,positive_helpfulness_votes
0,Spider-Man 2,Spider-Man just keeps getting better and better!,"This movie takes everything from the first movie: all the love, action, and super-hero from the first movie and just makes it so much better! This one was much more serious than the first one. Peter/Spider-Man has everything going wrong for him. He's losing his powers. his job, his dream girl, he's ruining his grades and the entire time you just want it all to work out for him.Without a doubt the CGI in this one is much better than the CGI in the first, but that's obviously because technology had two years to advance itself. I still don't understand how they did all the scenes with Doc Oc. Hmmm. Magical Hollywood, I guess.If you saw the first Spider-Man I would without a doubt say see this one.I already have the third one sitting next to me waiting to be watched. This one's kinda like Iron Man 2- you don't necessarily need to see the first one to get the second one, but it's still a good idea to see the first one.In other words: SEE IT!!!!!!!!!!!!",9.0,Green_Saturn,2010/09/03,3,3
1,Taxi Driver,An Enigmatic Masterpiece,"If a picture is worth a thousand words then this movie (moving picture) is worth a million words, which is why it has probably generated at least a million words.What can one say. The obvious: that ""Taxi Driver"" is great, it is. That it is a masterpiece, it is. What sets this film apart from so many other films, including great films, is that it is an enigma. Every time I watch this film I see something else, I notice something else, I feel something else, I wonder something else. And I am, clearly, not the only one who reacts to the film this way that is why it lends itself to endless speculation and discussion.Since so many positive reviews have been made, rather than add my own red hot glowing review I thought I would address those people who have written that they don't like ""Taxi Driver"" because, they say, they find it dull and boring, hard to follow, etc. These people miss some important points about the film.ONE, ""Taxi Driver"" is NOT an action film. If you want an action film watch ""Die Hard"" and its numerous sequels, or ""Lethal Weapon"" and its sequels, not to mention ""Rambo"" and thousands of other ""action flicks."" Nothing wrong with them, per se. Nothing wrong with liking them either. But is wrong to put down ""Taxi Driver"" because of what it is not.TWO, ""Taxi Driver"" is about loneliness and loneliness is characterized by an almost crushing boredom and emptiness and Travis Bickle's character reflects that. His life is dull and boring, hardly anything happens to him and that is what ""Taxi Driver"" shows - Bickle's pathetic life.THREE, some people say that they don't understand the plot, Bickle's attitudes and behaviour, etc. But that is because ""Taxi Driver"" is about a man who is profoundly emotionally disturbed although he (and his buddies) don't seem to know it. His actions aren't rational because he isn't rational. His actions make no sense because he makes no sense. Offhand, I can't think of any other film that has depicted mental illness as well as ""Taxi Driver"" and no film that attempts to show the world as seen by someone like Travis Bickle.There you go: three reasons to address the most common criticisms of the film with one notable exception, its controversial ending, but THAT is a whole topic in itself which is just more proof of why ""Taxi Driver"" is so worthwhile - when viewers aren't sure what actually happens in the end (Is Travis hallucinating as he is dying? Is that what the slow moving overhead tracking shot suggests? Or does he really become a hero in the media and get realeased back into the world with his buddies? Etc, etc.) The questions and issues raised by ""Taxi Driver"" just go one and on.Now if after reading the above you still don't think ""Taxi Driver"" is a great film, I can't help you. I am NOT saying you have to like (or love) ""Taxi Driver"" just appreciate it or at least acknowledge its greatness even if it isn't your cup of tea. Actually, I don't love ""Taxi Driver"" because it doesn't lend itself to love. It is too disturbing a picture precisely because it is way too close to reality, it cuts too close to the bone for my comfort (or rather, discomfort). It is not comfortable to watch because it isn't supposed to be. So if ""Taxi Driver"" makes you feel uncomfortable and uneasy it should because real life is uncomfortable and uneasy (unless you are born rich or something).Finally, after watching it again for the nth time I have begun to notice (and feel) just how smooth ""Taxi Driver"" is. The overall feel and flow of the film is incredibly smooth in which not only each scene but each and every movement and gesture flows into the other imperceptibly. Sometimes I play back scences and sequences over and over to catch how it happens. In fact, I see it happening and still can't quite figure out how it is done but I have a hunch - DeNiro. DeNiro is just amazing in this film. If you haven't done it already, watch it with the remote in your hand and play some of the scenes in slow motion and you will SEE what I am talking about. Only DeNiro could do what he does. The sheer minimalism of his performance is just stunning. How he gets so much from so little never ceases to amaze me. DeNiro's performance in ""Taxi Driver"" only reminds me of what sports announcer Curt Gowdy exclaimed after one of Baltimore Orioles third baseman Brooks Robinson's incredible plays in the 1970 World Series,""This guy is another world!""",,JosefSerf,2004/05/04,330,253
2,Goodfellas,Incredible crime drama,"Goodfellas is an incredible crime drama that's tense, shocking and gripping throughout. Ray Liotta and Lorraine Bracco both give incredible performances and Joe Pesci and Robert De Nero are both perfect even though they look too old for their characters age in earlier scenes. Martin Scorsese's direction is amazing and it's extremely well filmed and well paced, skillfully navigating three decades coherently and effectively. The soundtrack is fantastic.",9.0,masonsaul,2020/07/27,4,3
3,The Green Mile,Rest in Peace Michael Clarke Duncan,"There's a reason why this Oscar winning tour de force is #67 ranked of all films on IMDb, despite the fact that it's 3 hours long and has some truly grisly scenes (not for the squeamish, children, or a first date.)It's chock full of outstanding performances, not only from Hanks, but also from the many supporting characters, all who are rich and full. It will seem slow to the impatient, but will be richly rewarding for those with the stamina to make it to the end. It will certainly get you thinking about capital punishment and perhaps different shades/degrees of evil. It is either a deeply moving spiritual tale or a wonderfully creepy journey down the rabbit hole of Stephen King's mind; take your pick. Either way, I put it right up there on my desert island list with the likes of Shawshank Redemption. It is definitely required watching.",10.0,epluribusunum2010,2012/09/05,66,61
4,Goodfellas,Most overrated movie ever!,"Maybe I was so disappointed in this movie because I'd already seen the Godfathers and the Sopranos, but this movie couldn't have disappointed me more.I don't even know where to begin. The plot was dull and predictable. I realize it is based on a true story, but it was still boring.For the caliber of actors in it, I wasn't moved by any of the performances.The pace was choppy. The final half hour felt like an entirely different film.Very disappointing mob saga and one of the most overrated film of all time.",1.0,mfmoore-1,2007/10/14,153,63
5,The Green Mile,Frank Darabont's Green Mile goes the extra mile and delivers a great movie.,"I promise you that if you have any humanity in your soul, by the end of watching this movie. You will find yourself weeping, because how moving this movie is. The Green Mile is an amazing movie directed by Frank Darabont who knows a little bit about directing prison movies. His biggest claim to fame was 1994's Shawshank Redemption, a prison movie adapted from a Stephen King novel. So it was no surprise that Frank and Stephen King would once again team up to bring audiences another great movie. Can lightning strike in the same place twice? Yes! Set in the Deep South rather than the north this time, Green Mile takes place in Louisiana's prison during the Great Depression. The film really captured the era. Tom Hanks plays Paul Edgecombe, a prison guard that works at a quarter of the prison whom job is to execute the inmates. The job is hard and tough. He became to question himself, and his job when a new inmate came named John Coffey (Michael Clarke Duncan), a simple minded giant whom works more like a miracle worker than a murderer. I have to say what a great cast! Michael Clarke Duncan as John Coffey was amazing. The way he can pull the audience in, with his delivery is just spell bounding. I got his 'broken glasses' and 'he kill them with they love' speech. I think this encompasses a major theme, how people are ugly and cruel to each other, and justice is only sometimes given. Everything about him, speaks John Coffey from the way he handle miracles, and even the child like innocents when playing with a pet mouse name Mr. Jingles. David Morse as Brutus ""Brutal"" Howell is a great supporting character that helps Paul with his job. I really liked his performance as the strong- will, second in command officer. Then there is Dough Hutchison as Percy Whetmore - he plays a great weasel. He captured Percy's cowardice, arrogance, and violence perfectly as the crudest of the guards. Last, worth noting is Sam Rockwell. He was a little older than how I imagined the criminal Wild Bill to be. He did bring some good humor to the film. I do find the moon pie scene hilarious. A lot of critics have panned the film for not having realistic characters. The characterizations on the death row inmates don't really seems like they belong there. Honestly, does anybody think Eduard Delacroix (Michael Jeter) even commit a crime? He seems way too old to be really a murderer, even Arlan Bitterbuck (Graham Greene) didn't seem so bad. Then you got Percy, the immature sadistic, racist, creep, painted here as being nothing less than 100% evil. Not 50% evil, not 80% evil. But 100% evil. Is that realistic? Is it? Does this guy have even a single redeeming feature? Nope, not one. So I'm not buying this guy either. The characters were way too good or just plan evil with little to no character development. I think it's OK to have film like that, and how the characters were portrayed, I think it was very accurate to the book. In the book, I had a hard time telling the other guards Harry (Jeffery DeMunn) and Dean (Barry Pepper) apart, so I'm glad in the movie, Dean was considerably older than Harry. The biggest change from the book is the racism in the South. I honestly think they toned it down in the movie, the n-word is used plenty of times in the book. Another thing that the movie didn't put was the short story about old Paul in Georgia Pines with a cruel employee that reminded him of Percy. Adding this to the movie would have made it too long, it was already three hours, but it definitely gave his elderly age some more depth. The movie did add some new things to help the film. I think the repeated visual of the light bulbs bursting during Coffey's bursts of power added to the story since we couldn't get inside of Paul's head. I also thought Coffey showing Paul what he saw as opposed to Paul going to investigate was a good move for the film - it shortened the film that was needed badly. Another thing that angry some critics, was the ""Christ"" like symbolism with John Coffey. People says it was too much messianic overtones in the story but it's absolutely ludicrous. As a Christian man, I wasn't offended by it. People need to be open to all beliefs to get this film. Once you get pass that, you find John Coffey to be a very interesting lovable guy, and you get emotional invested in him to the point that you cry when you see what happen in the end with his character. Then there are those people that mad because the movie is way too long. Not that that is always bad, but it didn't help things at all here. If this movie had been the standard flick, but I will defend this movie because the Green Mile is supposed to seem too long. It was even quote in the film. Anybody who read the book, should have known that. The music by Thomas Newman is amazing. It fits in with the mood of the film. Even the song from 1935's Top Hat work in this film. Overall: I really enjoyed this movie. I can understand why it was nominated for a Best Picture at the Academy Awards. An amazing story. Sad emotional for sure, but a lot of great stories are. BTW- RIP Michael Clarke Duncan. You were a great actor.",9.0,ironhorse_iv,2013/08/05,6,4
6,The Green Mile,It is Beyond its Date,There is nothing left to say after 21 years has passed since this masterpiece was created. I have humid eyes and feel warmth in my heart.,10.0,burakparlak,2020/02/03,2,2
7,The Green Mile,I loved it!!!,"I had looked forward to this movie ever since I heard about it. How could you beat Stephen King and Tom Hanks? Then the reviews came out, most of them complaining about the length of the movie and how slow it moved. Were they at the same movie I saw??? From beginning to end it was so absorbing that I never thought about the time. And I never saw any one leave the theater for the restrooms, either. They didn't want to miss anything!!The acting was so great and everyone fit their parts perfectly. GO SEE IT!!!! You won't be sorry.",10.0,corky-7,1999/12/11,3,3
8,Spider-Man 2,Spider-man is back but with a greater enemy Doc Ock.,"He's back but with a bigger problem now. His powers are temporarily lost for a while but when his girl-friend is kidnapped right before his very eyes he knew that he was in for a big battle with the man he had favored before he turned evil inside and out. The film was great it was just like the first film except that right at the ending Mary Jane finally saw Peter as Spider-man right before her very eyes. Now that Peter had ""lost"" his spider powers he thought things would run smoothly for him and his life style. But all of that changed when his girl-friend was kidnapped by the guy he used to look up to Doctor Octavius better known as Doc Ock by the newspaper Peter worked at. I was a bit scared of the new villain in town who was after Spider-man and his machine that fused together the tentacles on his back spine and messed with his mind to the point that he nearly killed Peter who revealed himself to Doc Ock when he sacrificed himself to save everyone in the city including Peter and Mary Jane but had unfortunately died of drowning to death. But overall great film and a good influence to many young children and adults of all ages.",9.0,howellgirl2011,2011/01/13,22,14
9,The Green Mile,"A Masterpiece of Cinematic Art -- Captivating, Reverent, Tear-Inducing","""The Green Mile"" expertly mixes film genres: It's part prison flick, part supernatural mystery and part drama. It was adapted from Stephen King's novel by director/writer Frank Darabont and released in 1999. If you're not an admirer of Stephen King books/films (I'm not) DON'T let that deter you from viewing this beautiful and spiritually-profound film; ""The Green Mile"" is by no means a typical horror story, although it does have a couple of horrific scenes.THE STORY: Tom Hanks plays the head Death Row guard at a Tennessee prison during the Depression. A new inmate is introduced, a hulking black man named John Coffey (exquisitely played by Michael Clarke Duncan), who is condemned to death for the rape and murder of two little girls. Hanks and his guard friends slowly become intrigued by the seemingly pure-hearted giant and begin to realize that he is eminently gifted in a decidedly supernatural way; they conclude that there's no way he could be guilty of the crime. If that's the case, who is guilty? And will the guilty party get away with it.""The Green Mile"" is a 3-hour film, way over my limited attention span, and yet it is somehow utterly engrossing, even on repeat viewings. The film is character/dialogue driven, unique and wholly unpredictable. Please don't mistake this for a run-of-the-mill prison flick. The fact that it largely takes place in a prison in the 1930s is a secondary issue. This is an incredibly powerful supernatural mystery/drama.*** SPOILER ALERT *** (Don't read this next paragraph unless you want to consider possibilities about the character John Coffey) John Coffey's last name is, evidently, derived from an ancient Sumerian word, kophi, which means ""winged creature."" Hence, John could be viewed as a angel or messenger from the Almighty. In truth, John is an obvious type of Jesus Christ verified in six ways: (1.) His initials are J.C. (2.) He's completely pure/good-hearted and can easily recognize true evil. (3.) He miraculously heals people. (4.) He pronounces and executes divine judgment. (5.) He is sacrificed even though completely innocent. And (6.) He offers eternal life (in a sense), as evidenced by the extended life-span of the Hanks character and the mouse ""Mr. Jingles."" *** End SPOILER ALERT *** BOTTOM LINE: Make no mistake, ""The Green Mile"" is one of the greatest films ever made. It ranks up there with my 5 or 10 best. Don't miss out on this cinematic masterpiece. Now please excuse me while I wipe the tears from my face.",9.0,Wuchakk,2011/08/19,9,5
10,Goodfellas,"""Scorsese is the ultimate storyteller.""","""Jimmy was the kind of guy who rooted for the bad guy in movies.""""We always called each other good fellas.""""As far back as I can remember, I always wanted to be a gangster.""""Never rat on your friends and always keep your mouth shut.""Rewatchable at anytime for any reasonThe cast is brilliant , and i really love Robert De Niro .The soundtrack is everything and the best was rosses are red by bobby vinton but I do remember reading that actually his son robert vinton who portrayed his father in that role , Plus Life is but a dream by The harptones",10.0,leen-16109,2020/04/09,15,14
